MEASURE BEATLENGTH ARROWDIR
0.2 --OFFSET
4 --BEATS PER MEASURE
100 --BPM
1 QUARTER UP
1 SIXTEENTH DOWN
1 EIGHTH LEFT
1 HALF_TIE_SIXTEENTH RIGHT
2 QUARTER UP
2 SIXTEENTH DOWN
2 EIGHTH LEFT
2 QUARTER_TIE_SIXTEENTH RIGHT
2 EIGHTH UP
2 EIGHTH DOWN
3 QUARTER UP
3 SIXTEENTH DOWN
3 EIGHTH LEFT
3 QUARTER_TIE_DOTTED_EIGHTH RIGHT
3 EIGHTH DOWN
4 EIGHTH_TRIPLET LEFT
4 EIGHTH_TRIPLET DOWN
4 EIGHTH_TRIPLET RIGHT
4 EIGHTH_TRIPLET LEFT
4 EIGHTH_TRIPLET DOWN
4 EIGHTH_TRIPLET RIGHT
4 EIGHTH_TRIPLET LEFT
4 EIGHTH_TRIPLET DOWN
4 EIGHTH_TRIPLET RIGHT
4 EIGHTH_TRIPLET LEFT
4 EIGHTH_TRIPLET DOWN
4 EIGHTH_TRIPLET RIGHT
5 QUARTER UP
