MEASURE BEATLENGTH ARROWDIR
0.1 --OFFSET
4 --BEATS PER MEASURE
160 --BPM
1 DOTTED_WHOLE LEFT
2 DOTTED_QUARTER UP
2 DOTTED_WHOLE_TIE_EIGHTH RIGHT
4 DOTTED_QUARTER DOWN
4 WHOLE_TIE_EIGHTH UP
6 HALF LEFT
6 DOTTED_QUARTER UP
6 DOTTED_HALF_TIE_EIGHTH RIGHT
7 QUARTER LEFT
8 DOTTED_QUARTER DOWN
8 DOTTED_QUARTER UP
8 QUARTER RIGHT
9 DOTTED_WHOLE LEFT
10 DOTTED_QUARTER UP
10 DOTTED_WHOLE_TIE_EIGHTH RIGHT
12 DOTTED_QUARTER DOWN
12 WHOLE_TIE_EIGHTH UP
14 HALF LEFT
14 DOTTED_QUARTER UP
14 DOTTED_HALF_TIE_EIGHTH RIGHT
15 QUARTER LEFT
16 DOTTED_QUARTER DOWN
16 DOTTED_QUARTER UP
16 QUARTER RIGHT
17 HALF LEFT
17 QUARTER LEFT
17 QUARTER RIGHT
18 QUARTER DOWN
18 EIGHTH DOWN
18 DOTTED_QUARTER UP
18 QUARTER RIGHT
19 WHOLE LEFT
20 HALF LEFT
20 HALF LEFT
21 HALF LEFT
21 HALF LEFT
22 QUARTER LEFT
22 EIGHTH RIGHT
22 DOTTED_QUARTER DOWN
22 EIGHTH UP
22 DOTTED_QUARTER RIGHT
23 EIGHTH RIGHT
23 DOTTED_QUARTER LEFT
23 QUARTER LEFT
24 DOTTED_QUARTER DOWN
24 DOTTED_QUARTER UP
24 QUARTER RIGHT
25 QUARTER LEFT
25 QUARTER LEFT
25 QUARTER LEFT
25 QUARTER RIGHT
26 QUARTER DOWN
26 EIGHTH DOWN
26 DOTTED_QUARTER UP
26 QUARTER RIGHT
27 WHOLE LEFT
28 HALF RIGHT
28 HALF UP
29 WHOLE DOWN
30 QUARTER LEFT
30 QUARTER DOWN
30 QUARTER UP
30 QUARTER RIGHT
31 DOTTED_QUARTER LEFT
31 DOTTED_QUARTER UP
31 DOTTED_QUARTER LEFT
32 EIGHTH UP
32 EIGHTH RIGHT
32 EIGHTH LEFT
32 QUARTER DOWN
32 QUARTER RIGHT
33 HALF LEFT
33 QUARTER UP
33 EIGHTH DOWN
33 HALF_TIE_EIGHTH LEFT
34 QUARTER UP
34 EIGHTH DOWN
34 HALF_TIE_EIGHTH LEFT
35 QUARTER UP
35 EIGHTH DOWN
35 DOTTED_QUARTER LEFT
36 QUARTER UP
36 EIGHTH DOWN
36 QUARTER UP
36 HALF_TIE_EIGHTH LEFT
37 QUARTER UP
37 EIGHTH DOWN
37 HALF_TIE_EIGHTH LEFT
38 QUARTER UP
38 EIGHTH DOWN
38 HALF_TIE_EIGHTH LEFT
39 QUARTER UP
39 EIGHTH DOWN
39 DOTTED_QUARTER LEFT
40 QUARTER UP
40 EIGHTH DOWN
40 QUARTER UP
40 HALF_TIE_EIGHTH LEFT
41 QUARTER UP
41 EIGHTH DOWN
41 HALF_TIE_EIGHTH LEFT
42 QUARTER UP
42 EIGHTH DOWN
42 HALF_TIE_EIGHTH LEFT
43 QUARTER UP
43 EIGHTH DOWN
43 DOTTED_QUARTER LEFT
44 QUARTER UP
44 EIGHTH DOWN
44 QUARTER UP
44 EIGHTH LEFT
45 EIGHTH UP
45 EIGHTH DOWN
45 EIGHTH UP
45 EIGHTH DOWN
45 EIGHTH UP
45 EIGHTH DOWN
45 EIGHTH UP
45 EIGHTH DOWN
46 EIGHTH UP
46 EIGHTH DOWN
46 EIGHTH UP
46 EIGHTH DOWN
46 EIGHTH UP
46 EIGHTH DOWN
46 EIGHTH UP
46 EIGHTH DOWN
47 EIGHTH UP
47 EIGHTH DOWN
47 EIGHTH UP
47 EIGHTH DOWN
47 EIGHTH UP
47 EIGHTH DOWN
47 EIGHTH UP
47 EIGHTH DOWN
48 QUARTER UP
48 EIGHTH DOWN
48 EIGHTH LEFT
48 HALF UP
49 EIGHTH LEFT
49 EIGHTH UP
49 EIGHTH DOWN
49 EIGHTH UP
49 EIGHTH RIGHT
49 EIGHTH DOWN
49 EIGHTH UP
49 EIGHTH DOWN
50 EIGHTH LEFT
50 EIGHTH UP
50 EIGHTH DOWN
50 EIGHTH UP
50 EIGHTH RIGHT
50 EIGHTH DOWN
50 EIGHTH UP
50 EIGHTH DOWN
51 EIGHTH LEFT
51 EIGHTH UP
51 EIGHTH DOWN
51 EIGHTH UP
